Execution Time: 8454.1ms
				Paul Bettany, depth=2, num children=0
				Oliver Platt, depth=2, num children=0
				Ulrich Thomsen, depth=2, num children=0
				Jonny Pasvolsky, depth=2, num children=0
				Paul Whitehouse, depth=2, num children=0
				Jenna Russell, depth=2, num children=0
				Nicholas Farrell, depth=2, num children=0
				Camilla Marie Beeput, depth=2, num children=0
				Colette O'Neil, depth=2, num children=0
				Guy Burnet, depth=2, num children=0
				Junix Inocian, depth=2, num children=0
				Karl Theobald, depth=2, num children=0
				Michael Culkin, depth=2, num children=0
				Carly Steel, depth=2, num children=0
				Austin Lyon, depth=2, num children=0
				Alec Utgoff, depth=2, num children=0
				Ricky Champ, depth=2, num children=0
		Independence Day: Resurgence, depth=1, num children=21
				Ivan G'Vera, depth=2, num children=0
				Maika Monroe, depth=2, num children=0
				Jessie T. Usher, depth=2, num children=0
				Travis Tope, depth=2, num children=0
				Stafford Douglas, depth=2, num children=0
				Liam Hemsworth, depth=2, num children=0
				Joey King, depth=2, num children=0
				William Fichtner, depth=2, num children=0
				Vivica A. Fox, depth=2, num children=0
				Sela Ward, depth=2, num children=0
				Charlotte Gainsbourg, depth=2, num children=0
				Brent Spiner, depth=2, num children=0
				Bill Pullman, depth=2, num children=0
				Robert Loggia, depth=2, num children=0
				Judd Hirsch, depth=2, num children=0
				Chin Han, depth=2, num children=0
				Angelababy, depth=2, num children=0
				DeObia Oparei, depth=2, num children=0
				Gbenga Akinnagbe, depth=2, num children=0
				Nicolas Wright, depth=2, num children=0
				Ryan Cartwright, depth=2, num children=0
		Guardians of the Galaxy Vol. 2, depth=1, num children=47
				Dave Bautista, depth=2, num children=0
				Kurt Russell, depth=2, num children=0
				Tommy Flanagan, depth=2, num children=0
				Stan Lee, depth=2, num children=0
				Zoe Saldaña, depth=2, num children=0
				David Hasselhoff, depth=2, num children=0
				Michelle Yeoh, depth=2, num children=0
				Karen Gillan, depth=2, num children=0
				Rob Zombie, depth=2, num children=0
				Ving Rhames, depth=2, num children=0
				Ben Browder, depth=2, num children=0
				Michael Rosenbaum, depth=2, num children=0
				Sean Gunn, depth=2, num children=0
				Chris Pratt, depth=2, num children=0
				Michael Rooker, depth=2, num children=0
				Evan Jones, depth=2, num children=0
				Richard Christy, depth=2, num children=0
				Gregg Henry, depth=2, num children=0
				Laura Haddock, depth=2, num children=0
				Pom Klementieff, depth=2, num children=0
				Aaron Schwartz, depth=2, num children=0
				Elizabeth Debicki, depth=2, num children=0
				Stephen Blackehart, depth=2, num children=0
				Steve Agee, depth=2, num children=0
				Chris Sullivan, depth=2, num children=0
				Wyatt Oleff, depth=2, num children=0
				Joe Fria, depth=2, num children=0
				Terence Rosemore, depth=2, num children=0
				Mike Escamilla, depth=2, num children=0
				Don Johnson, depth=2, num children=0
				Elizabeth Ludlow, depth=2, num children=0
				Milynn Sarley, depth=2, num children=0
				Sierra Love, depth=2, num children=0
				Hannah Harlow, depth=2, num children=0
				Hilty Bowen, depth=2, num children=0
				Alex Klein, depth=2, num children=0
				Luke Cook, depth=2, num children=0
				Blondy Baruti, depth=2, num children=0
				Kendra Carelli, depth=2, num children=0
				Mac Wells, depth=2, num children=0
				James Gunn Sr., depth=2, num children=0
				Leota Gunn, depth=2, num children=0
				Damita Jane Howard, depth=2, num children=0
				Rhoda Griffis, depth=2, num children=0
				James Euringer, depth=2, num children=0
				Molly Quinn, depth=2, num children=0
				Sylvester Stallone, depth=2, num children=0
		Thor: Ragnarok, depth=1, num children=38
				Mark Ruffalo, depth=2, num children=0
				Chris Hemsworth, depth=2, num children=0
				Anthony Hopkins, depth=2, num children=0
				Cate Blanchett, depth=2, num children=0
				Karl Urban, depth=2, num children=0
				Zachary Levi, depth=2, num children=0
				Matt Damon, depth=2, num children=0
				Stan Lee, depth=2, num children=0
				Sam Neill, depth=2, num children=0
				Benedict Cumberbatch, depth=2, num children=0
				Tessa Thompson, depth=2, num children=0
				Tom Hiddleston, depth=2, num children=0
				Idris Elba, depth=2, num children=0
				Ray Stevenson, depth=2, num children=0
				Tadanobu Asano, depth=2, num children=0
				Charlotte Nicdao, depth=2, num children=0
				Luke Hemsworth, depth=2, num children=0
				Taika Waititi, depth=2, num children=0
				Shari Sebbens, depth=2, num children=0
				Rachel House, depth=2, num children=0
				Rob Mayes, depth=2, num children=0
				Shalom Brune-Franklin, depth=2, num children=0
				Georgia Blizzard, depth=2, num children=0
				Amali Golden, depth=2, num children=0
				Ashley Ricardo, depth=2, num children=0
				Taylor Hemsworth, depth=2, num children=0
				Cohen Holloway, depth=2, num children=0
				Alia Seror-O'Neill, depth=2, num children=0
				Sophia Laryea, depth=2, num children=0
				Steven Oliver, depth=2, num children=0
				Hamish Parkinson, depth=2, num children=0
				Jasper Bagg, depth=2, num children=0
				Sky Castanho, depth=2, num children=0
				Richard Green, depth=2, num children=0
				Sol Castanho, depth=2, num children=0
				Jet Tranter, depth=2, num children=0
				Samantha Hopper, depth=2, num children=0
				Eloise Winestock, depth=2, num children=0
		Tour de Pharmacy, depth=1, num children=8
				John Cena, depth=2, num children=0
				Orlando Bloom, depth=2, num children=0
				Dolph Lundgren, depth=2, num children=0
				Danny Glover, depth=2, num children=0
				Julia Ormond, depth=2, num children=0
				Freddie Highmore, depth=2, num children=0
				Andy Samberg, depth=2, num children=0
				Daveed Diggs, depth=2, num children=0
		Jurassic World: Fallen Kingdom, depth=1, num children=10
				Bryce Dallas Howard, depth=2, num children=0
				Geraldine Chaplin, depth=2, num children=0
				James Cromwell, depth=2, num children=0
				Toby Jones, depth=2, num children=0
				BD Wong, depth=2, num children=0
				Ted Levine, depth=2, num children=0
				Chris Pratt, depth=2, num children=0
				Michael Papajohn, depth=2, num children=0
				Rafe Spall, depth=2, num children=0
				Isabella Sermon, depth=2, num children=0
		Hotel Artemis, depth=1, num children=6
				Jodie Foster, depth=2, num children=0
				Dave Bautista, depth=2, num children=0
				Zachary Quinto, depth=2, num children=0
				Sofia Boutella, depth=2, num children=0
				Jenny Slate, depth=2, num children=0
				Sterling K. Brown, depth=2, num children=0
		Jurassic World Dominion, depth=1, num children=25
				Julianne Moore, depth=2, num children=0
				Vince Vaughn, depth=2, num children=0
				Jake Johnson, depth=2, num children=0
				Téa Leoni, depth=2, num children=0
				Sam Neill, depth=2, num children=0
				Laura Dern, depth=2, num children=0
				Bryce Dallas Howard, depth=2, num children=0
				Dichen Lachman, depth=2, num children=0
				Omar Sy, depth=2, num children=0
				BD Wong, depth=2, num children=0
				Chris Pratt, depth=2, num children=0
				Campbell Scott, depth=2, num children=0
				Kristoffer Polaha, depth=2, num children=0
				Daniella Pineda, depth=2, num children=0
				Enzo Squillino, Jr., depth=2, num children=0
				Scott Haze, depth=2, num children=0
				Dimitri Vegas, depth=2, num children=0
				Justice Smith, depth=2, num children=0
				DeWanda Wise, depth=2, num children=0
				Mamoudou Athie, depth=2, num children=0
				Varada Sethu, depth=2, num children=0
				Isabella Sermon, depth=2, num children=0
				Glynis Davies, depth=2, num children=0
				Caleb Hearon, depth=2, num children=0
				Elva Trill, depth=2, num children=0
		Asteroid City, depth=1, num children=154
				Paul Kynman, depth=2, num children=0
				Sam Marra, depth=2, num children=0
				Ara Hollyday, depth=2, num children=0
				Kenneth Bate, depth=2, num children=0
				Sandy Hamilton, depth=2, num children=0
